,id,full_name,first_name,last_name,is_active
0,76001,Alaa Abdelnaby,Alaa,Abdelnaby,False
1,76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,False
2,76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,False
3,51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,False
4,1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,False
5,949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,False
6,76005,Tom Abernethy,Tom,Abernethy,False
7,76006,Forest Able,Forest,Able,False
8,76007,John Abramovic,John,Abramovic,False
9,203518,Alex Abrines,Alex,Abrines,False
10,1630173,Precious Achiuwa,Precious,Achiuwa,True
11,101165,Alex Acker,Alex,Acker,False
12,76008,Donald Ackerman,Donald,Ackerman,False
13,76009,Mark Acres,Mark,Acres,False
14,76010,Charles Acton,Charles,Acton,False
15,203112,Quincy Acy,Quincy,Acy,False
16,76011,Alvan Adams,Alvan,Adams,False
17,76012,Don Adams,Don,Adams,False
18,200801,Hassan Adams,Hassan,Adams,False
19,1629121,Jaylen Adams,Jaylen,Adams,False
20,203919,Jordan Adams,Jordan,Adams,False
21,149,Michael Adams,Michael,Adams,False
22,203500,Steven Adams,Steven,Adams,True
23,912,Rafael Addison,Rafael,Addison,False
24,1628389,Bam Adebayo,Bam,Adebayo,True
25,1629061,Deng Adel,Deng,Adel,False
26,76015,Rick Adelman,Rick,Adelman,False
27,202399,Jeff Adrien,Jeff,Adrien,False
28,201167,Arron Afflalo,Arron,Afflalo,False
29,1630534,Ochai Agbaji,Ochai,Agbaji,True
30,200772,Maurice Ager,Maurice,Ager,False
31,76016,Mark Aguirre,Mark,Aguirre,False
32,201336,Blake Ahearn,Blake,Ahearn,False
33,76017,Danny Ainge,Danny,Ainge,False
34,201582,Alexis Ajinca,Alexis,Ajinca,False
35,76018,Henry Akin,Henry,Akin,False
36,203006,Josh Akognon,Josh,Akognon,False
37,1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,False
38,202374,Solomon Alabi,Solomon,Alabi,False
39,76019,Mark Alarie,Mark,Alarie,False
40,76020,Gary Alcorn,Gary,Alcorn,False
41,1630583,Santi Aldama,Santi,Aldama,True
42,203128,Furkan Aldemir,Furkan,Aldemir,False
43,202332,Cole Aldrich,Cole,Aldrich,False
